STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061002,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061003,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061004,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061005,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061006,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061007,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061008,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061009,0.61, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061010,0.4, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061011,0.17, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061012,0.04, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061013,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061014,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061015,0,T, ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061016,0.04, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061017,0,T, ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061018,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061019,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061020,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061021,0.02, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061022,0,T, ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061023,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061024,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061025,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061026,0,T, ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061027,0.99, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061028,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061029,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061030,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061031,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061101,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061102,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061103,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061104,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061105,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061106,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061107,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
GHCND:US1KSFO0007,DODGE CITY 1.7 SSW KS US,766,37.737,-100.0294,20061108,0, , ,N,9999,-9999, , , ,9999,0, , ,N,9999
